Processing: C:\learnova_app\textbooks\F5 Bahasa Melayu.pdf
Subject: MY-BahasaMalaysia  Form: 5  Pages: 11-276 of 276
------------------------------------------------------------
  p 11/276  SKIP  Halaman ini hanya memberikan gambaran keseluruhan komponen Seni Bahasa dan Tatabahasa tanpa kandungan pengajaran yang khusus.
  p 12/276  SKIP  The extracted text only describes general teaching activities (Pemulihan and Pengukuhan) without any specific language content, grammar, or writing examples. It does not provide teachable Bahasa Malaysia content for SPM.
  p 13/276  SKIP  Halaman ini hanya menerangkan ciri-ciri buku teks seperti Kod QR dan Realiti Terimbuh, bukan kandungan pelajaran Bahasa Malaysia yang boleh diajar.
  p 14/276  SKIP  Halaman hanya mengandungi pemetaan kandungan tanpa isi pengajaran yang boleh diajar.
  p 15/276  SKIP  Halaman ini hanya mengandungi jadual peta standard kandungan dan pembelajaran, bukan kandungan pengajaran yang boleh diajar.
  p 16/276  SKIP  Halaman ini hanya mengandungi jadual standard kandungan dan standard pembelajaran, bukan bahan pengajaran yang boleh diajar.
  p 17/276  SKIP  Halaman ini mengandungi aktiviti pembelajaran abad ke-21, bukan kandungan mata pelajaran Bahasa Malaysia.
  p 18/276  SKIP  Halaman ini membincangkan kaedah pengajaran Pembelajaran Berasaskan Projek, bukan kandungan bahasa Melayu yang boleh diajar seperti tatabahasa, sastera, atau kemahiran bahasa.
  p 19/276  SKIP  Halaman mengandungi penerangan tentang Pembelajaran Berasaskan Masalah (PBM) sebagai pendekatan PdP, bukan kandungan bahasa Malaysia yang boleh diajar secara langsung seperti tatabahasa, sastera atau kemahiran bahasa.
  p 20/276  SAVED  Bab 1: Teknik Bacaan | Teknik Bacaan REAP
  p 21/276  SAVED  Bab 1: Kemahiran Membaca | Teknik Bacaan
  p 22/276  SAVED  Bab 1: Kemahiran Membaca | Teknik Bacaan KWLH
  p 23/276  SAVED  Bab 1: Kemahiran Membaca Aktif | Teknik Bacaan QUACK dan ACID
  p 24/276  SAVED  Bab 1: Kemahiran Membaca | Teknik Bacaan SQ4R
  p 25/276  SAVED  Bab 1: Anda Bersih, Anda Sihat | 
  p 26/276  SAVED  Bab 1: Sihat Anda Bersih, Anda | Mendengar dan Bertutur: Perkataan yang Berbeza Makna dan Fungsi
  p 27/276  SAVED  Bab 1: Komunikasi Lisan | Jenis Komunikasi Lisan
  p 28/276  SAVED  Bab 1: Kawal Sebelum Tular | Membaca dan Tatabahasa
  p 29/276  SAVED  Bab 1: Kesihatan dan Kebersihan | Membaca Teks Arahan dan Panduan
  p 30/276  SAVED  Bab 1: Seni Memberikan Erti | Terapi Seni melalui Lukisan
  p 31/276  SKIP  Halaman ini hanya mengandungi gambar dan penerangan ringkas tentang artis serta lukisan, tanpa kandungan pengajaran Bahasa Malaysia yang jelas seperti tatabahasa, sastera, atau kemahiran bahasa. Tiada subtopik atau konsep yang boleh diajar secara langsung.
  p 32/276  SAVED  Bab 1: Bersih Itu Indah | Mendengar dan Bertutur
  p 33/276  SAVED  Bab 1: Tema Sihat dan Bersih (Kesihatan) | Komunikasi Lisan: Perbincangan Isu Kesihatan
  p 34/276  SAVED  Bab 1: Kebersihan Jadi Amalan | 
  p 35/276  SAVED  Bab 1: Kemahiran Membaca dan Mengapresiasi | Puisi - Menguak Kamar Kenangan
  p 36/276  SAVED  Bab 1 | Kata Tunggal dan Kata Majmuk
  p 37/276  SAVED  Bab 1: Kesihatan dan Amalan Hidup Sihat | Khasiat Makan Sayur-sayuran
  p 38/276  SAVED  Bab 1: Pengucapan Awam | 
  p 39/276  SAVED  Bab 1: Sukan dan Rekreasi | Tema 2: Sukan dan Rekreasi - Pengenalan
  p 40/276  SAVED  Bab 1: Rekreasi dan Sukan | Seni Gimrama (Mendengar dan Bertutur)
  p 41/276  SAVED  Bab 1: Rekreasi dan Sukan | Membaca dan Memahami Petikan
  p 42/276  SAVED  Bab 1 | Sama tetapi Tidak Serupa
  p 43/276  SAVED  Bab 1: Rekreasi dan Sukan | 
  p 44/276  SAVED  Bab 1: Kemahiran Menulis | Permainan Tradisional Rampanau
  p 45/276  SAVED  Bab 1: Rekreasi dan Sukan | Terompah Tempurung sebagai Sukan Rakyat
  p 46/276  SAVED  Bab 1: Mendengar dan Bertutur | Seni Bahasa Dari Petak ke Petak
  p 47/276  SAVED  Bab 1: Riadah Orang Istana | 1.2.1 Mendengar dan memberikan respons dalam pelbagai jenis ayat tanpa mengubah maksud konteks ayat.
  p 48/276  SAVED  Bab 1: Penulisan Berdasarkan Bahan Rangsangan | Penulisan: Mencandat Sotong
  p 49/276  SKIP  Halaman hanya mengandungi gambar rajah dialog ringkas tanpa penerangan tatabahasa, sastera, atau kemahiran bahasa yang boleh diajar.
  p 50/276  SAVED  Bab 1: Permainan Kata | Pengukuhan
